City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Pierre,US,2020-12-20 15:37:25,44.37,-100.35,39.38,72,59,11.83
253,Kokopo,PG,2020-12-20 15:37:25,-4.35,152.26,77.94,82,65,4.05
254,Kribi,CM,2020-12-20 15:37:25,2.95,9.92,81.93,77,96,7.23
255,Yining,CN,2020-12-20 15:37:26,29.04,114.56,35.82,81,0,1.32
256,Lantawan,PH,2020-12-20 15:37:26,10.62,123.98,80.6,88,90,1.12
257,Sfantu Gheorghe,RO,2020-12-20 15:37:26,45.87,25.78,36.0,86,9,1.99
258,Zarechnyy,RU,2020-12-20 15:37:26,53.2,45.19,6.53,93,0,4.79
259,Rumonge,BI,2020-12-20 15:37:26,-3.97,29.44,73.31,77,89,1.77
260,San Quintin,MX,2020-12-20 15:37:26,30.48,-115.95,60.24,44,61,0.81
261,Sainte-Suzanne,RE,2020-12-20 15:37:26,-20.91,55.61,78.8,78,0,17.22
262,Kuressaare,EE,2020-12-20 15:37:27,58.25,22.5,37.99,100,90,13.87
263,Victoria,HK,2020-12-20 15:32:50,22.29,114.16,61.0,57,88,14.92
264,Kolyshley,RU,2020-12-20 15:37:27,52.7,44.54,5.14,94,0,5.3
265,Alta Floresta,BR,2020-12-20 15:36:07,-9.88,-56.09,84.2,74,20,6.93
266,Eyl,SO,2020-12-20 15:37:27,7.98,49.82,78.35,64,47,21.45
267,Lavrentiya,RU,2020-12-20 15:37:27,65.58,-171.0,-8.61,87,16,10.94
268,Progreso,MX,2020-12-20 15:37:27,21.28,-89.67,78.01,83,20,4.7
269,Luderitz,NA,2020-12-20 15:37:27,-26.65,15.16,71.6,68,87,18.34
270,Saint-Raphael,HT,2020-12-20 15:37:28,19.43,-72.2,80.6,65,20,5.82
271,Iqaluit,CA,2020-12-20 15:37:28,63.75,-68.51,5.0,65,75,5.82
272,Port Elizabeth,ZA,2020-12-20 15:37:29,-33.92,25.57,73.4,78,90,13.87
273,Ostrovnoy,RU,2020-12-20 15:37:29,68.05,39.51,26.89,97,100,16.44
274,Shancheng,CN,2020-12-20 15:37:29,34.8,116.08,33.48,79,70,1.32
275,Nadym,RU,2020-12-20 15:37:29,65.53,72.52,-1.57,92,100,16.06
276,Havoysund,NO,2020-12-20 15:37:29,71.0,24.66,30.2,80,75,31.09
277,Sambava,MG,2020-12-20 15:37:29,-14.27,50.17,78.67,86,58,7.74
